priority_class,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
0,766,110,0.026901931463338,0.25,0.223098068536662,181.181132621718,0.236528893762034,0.25,0.0432995869789129,0.026901931463338,0.25,0.25,0.25,0
1,770,61,0.042801624015097,0.25,0.207198375984903,186.862943994046,0.242679148044215,0.25,0.0305430586613054,0.042801624015097,0.25,0.25,0.25,0
2,760,95,0.0256089449224883,0.25,0.224391055077512,181.124434598226,0.23832162447135,0.25,0.0415392940925396,0.0256089449224883,0.25,0.25,0.25,0
